
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
O,8.72,0.48
O,6.32,0.48
O,7.56,3.45
O,3.15,7.81
O,5.98,5.51
O,5.68,8.13
O,6.08,0.38
O,9.60,3.95
O,1.00,5.94
O,1.65,6.30
O,1.58,5.02
O,0.13,7.07
O,4.39,5.67
O,3.99,3.85
O,8.14,3.25
O,7.80,5.20
O,3.13,9.64
O,3.60,9.78
O,8.69,6.53
O,3.90,8.47
O,2.86,3.99
O,8.47,6.63
O,6.57,0.83
O,0.84,1.81
O,1.37,1.64
O,4.43,3.69
O,1.56,2.67
O,0.63,6.30
O,4.91,2.12
O,0.34,5.52
O,8.73,2.30
O,9.67,7.26
O,8.78,8.71
O,5.06,5.19
O,9.86,9.03
O,9.66,2.04
O,4.65,9.08
O,6.58,7.51
O,9.56,0.07
O,9.97,8.38
O,1.28,7.50
O,1.30,1.75
O,5.13,5.32
O,0.27,8.53
O,8.18,1.79
O,2.45,7.06
O,9.07,8.45
O,8.09,1.31
O,1.02,1.76
O,0.48,4.98
O,8.32,1.42
O,8.12,9.22
O,6.63,0.67
O,1.35,3.33
O,7.07,4.67
O,5.46,2.43
O,9.41,6.57
O,3.38,7.97
O,7.92,9.75
O,8.40,4.17
O,1.56,3.45
O,9.84,4.17
O,2.29,3.47
O,9.77,8.06
O,0.52,0.70
O,3.82,3.73
O,5.63,0.45
O,9.72,2.27
O,4.92,5.63
O,7.28,3.82
O,8.84,4.97
O,7.22,3.95
O,1.57,6.12
O,2.65,3.21
O,7.34,4.10
O,7.89,1.63
O,1.53,6.74
O,9.80,0.30
O,7.44,9.62
O,4.92,6.96
O,1.62,4.35
O,0.09,3.35
O,8.48,0.30
O,8.72,2.55
O,8.58,3.60
O,2.17,8.28
O,9.27,8.95
O,8.82,9.85
O,6.70,3.80
O,0.39,9.81
O,0.79,6.30
O,2.57,9.11
O,1.51,6.82
O,9.38,2.36
O,3.97,2.01
O,7.44,4.45
O,8.11,6.37
O,3.18,3.72
O,4.55,6.92
O,1.91,9.39
O,9.67,3.42
O,4.16,0.35
O,0.19,7.23
O,3.94,8.71
O,4.29,2.90
O,4.83,3.00
O,9.90,5.06
O,9.64,7.26
O,9.57,3.82
O,0.01,0.36
O,5.50,0.18
O,2.26,9.43
O,3.35,1.13
O,7.83,2.44
O,0.13,7.01
O,2.92,4.44
O,8.76,2.03
O,9.18,5.69
O,3.39,8.92
O,2.12,1.57
O,8.50,9.95
O,3.06,4.71
O,2.17,5.59
O,1.68,1.83
O,4.22,0.79
O,5.00,2.71
O,4.36,1.97
O,7.39,8.31
O,3.65,0.43
O,9.43,7.27
O,7.93,2.43
O,4.98,5.16
O,1.02,1.73
O,3.92,0.42
O,1.25,3.33
O,2.53,0.15
O,0.30,3.94
O,2.74,2.42
O,0.94,9.65
O,9.48,0.68
O,8.65,9.36
O,5.99,0.52
O,9.18,9.02
O,3.03,3.10
O,0.66,1.42
O,7.69,3.33
O,3.86,9.12
O,9.06,8.33
