
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
O,1.63,4.59
O,3.57,7.15
O,8.04,1.13
O,7.47,0.04
O,3.37,4.29
O,3.24,8.81
O,9.38,8.02
O,3.63,9.24
O,1.71,4.50
O,5.24,0.71
O,9.97,0.63
O,9.75,3.04
O,5.26,4.98
O,7.22,4.76
O,7.83,0.73
O,9.33,0.44
O,8.87,4.40
O,1.83,9.00
O,4.75,0.02
O,8.88,0.47
O,9.67,3.09
O,0.46,6.15
O,5.13,2.27
O,3.85,2.84
O,8.67,7.25
O,4.67,2.03
O,8.41,1.64
O,8.92,0.80
O,0.16,9.33
O,8.94,7.12
O,1.54,4.71
O,5.49,1.76
O,8.07,5.91
O,9.46,8.72
O,9.54,3.36
O,9.63,7.07
O,3.48,6.77
O,8.96,6.47
O,1.37,3.47
O,0.42,8.53
O,6.87,4.51
O,9.67,8.79
O,4.15,9.22
O,9.98,9.28
O,7.55,4.31
O,1.89,2.27
O,4.34,2.67
O,0.10,6.49
O,8.45,0.08
O,4.93,9.27
O,5.62,1.46
O,6.98,0.60
O,4.19,1.00
O,8.82,4.84
O,8.89,7.50
O,7.92,2.81
O,6.02,0.27
O,9.73,0.02
O,0.82,9.37
O,6.00,2.43
O,2.21,2.02
O,7.77,0.89
O,3.49,0.23
O,6.97,2.53
O,3.65,5.04
O,9.59,3.22
O,8.65,2.76
O,2.55,3.96
O,3.54,2.55
O,3.91,9.66
O,9.55,4.73
O,8.02,3.60
O,6.99,4.56
O,9.15,7.73
O,9.50,8.84
O,1.75,4.08
O,3.73,0.34
O,6.03,1.43
O,8.29,4.24
O,3.58,9.50
O,0.73,6.29
O,0.64,6.27
O,5.80,1.30
O,1.41,2.20
O,2.06,9.65
O,7.86,2.92
O,9.22,0.70
O,3.04,7.43
O,3.01,4.69
O,8.93,9.79
O,0.13,9.18
O,3.72,1.69
O,3.08,1.66
O,5.33,8.37
O,3.14,4.76
O,9.87,4.00
O,3.29,7.93
O,3.13,9.06
O,0.78,9.18
O,5.88,0.07
O,0.76,7.49
O,8.76,7.88
O,9.94,9.70
O,0.87,3.67
O,9.77,4.05
O,2.14,0.91
O,9.95,9.02
O,4.65,3.88
O,1.33,6.84
O,3.05,5.36
O,0.35,5.35
O,3.25,1.11
O,0.02,9.07
O,0.42,6.47
O,6.47,0.28
O,4.53,9.97
O,6.15,4.98
O,6.40,2.47
O,4.09,3.25
O,0.84,6.42
O,6.75,5.21
O,7.25,3.65
O,2.29,5.16
O,0.66,6.47
O,4.50,1.03
O,6.19,4.04
O,1.79,6.81
O,2.06,3.05
O,4.79,7.34
O,1.97,2.33
O,6.40,5.20
O,5.41,2.60
O,4.69,7.54
O,0.39,4.79
O,8.73,4.32
O,1.69,9.46
O,6.31,0.06
O,8.19,0.14
O,9.60,9.43
O,0.21,2.08
O,0.87,5.25
O,4.85,4.21
O,0.17,9.28
O,3.33,8.62
O,0.97,8.84
O,7.56,2.95
O,4.17,9.72
O,4.05,3.19
O,2.31,5.23
O,3.42,4.73
O,7.96,2.39
O,4.42,8.72
O,0.78,2.08
O,1.44,4.27
O,0.33,3.52
O,6.77,4.43
O,3.37,5.75
O,1.89,5.31
O,7.13,2.44
O,1.23,7.01
O,2.39,1.78
O,7.66,4.37
O,4.21,2.10
O,4.04,1.36
O,8.56,1.48
O,9.14,2.91
O,4.75,8.96
O,0.64,9.17
O,8.79,9.53
O,9.22,6.22
O,8.99,3.80
O,0.88,2.05
O,2.96,9.40
O,3.19,0.08
O,9.72,3.30
O,7.48,2.89
O,1.31,2.14
O,5.68,3.78
O,3.01,4.10
O,8.45,8.47
O,0.48,2.23
O,3.42,5.75
O,0.31,4.14
O,1.14,9.93
O,7.90,2.34
O,1.48,9.99
O,4.10,6.01
O,2.60,2.64
O,9.02,8.81
O,1.62,3.18
O,0.81,7.99
O,4.17,4.12
O,4.46,5.87
O,4.57,2.10
O,0.02,0.85
O,4.73,1.70
O,7.83,6.15
O,8.52,5.57
O,4.43,9.70
O,9.06,5.90
O,1.28,9.66
O,2.38,4.89
O,9.19,6.03
O,1.45,6.74
O,3.91,0.40
O,7.87,1.01
O,0.98,4.12
O,5.65,2.66
O,5.73,3.79
O,4.25,0.76
O,0.45,3.24
O,8.22,9.16
O,5.87,0.98
O,9.23,6.20
O,3.86,3.07
O,3.40,9.77
O,3.19,5.42
O,9.55,1.28
O,4.54,5.32
O,3.21,9.34
O,2.48,1.81
O,3.53,5.42
O,0.70,4.91
O,2.84,3.38
O,7.30,0.13
O,5.50,0.50
O,5.44,8.41
O,7.90,1.36
O,8.58,1.62
O,4.72,0.11
O,5.11,5.11
O,1.52,2.23
O,4.26,1.21
O,0.22,2.36
O,1.88,5.31
O,9.83,8.34
O,5.84,2.03
O,8.60,8.97
O,3.69,0.89
O,4.46,1.04
O,4.03,9.29
O,9.33,9.55
O,0.54,9.30
O,6.80,5.16
O,2.26,3.04
O,4.72,3.66
O,8.41,3.94
O,9.98,4.33
O,3.26,2.33
O,9.94,2.38
O,5.31,9.49
O,0.92,8.01
O,9.49,5.58
O,4.83,2.73
O,9.08,0.45
O,3.78,3.20
O,1.64,0.42
O,0.07,0.94
O,3.59,0.08
O,7.11,1.64
O,8.93,3.89
O,9.51,1.77
O,7.49,9.94
O,2.82,3.07
O,1.42,2.46
O,6.75,1.52
O,1.07,9.64
O,4.84,2.21
O,0.16,1.47
O,9.26,8.01
O,3.50,2.36
O,5.70,4.37
O,8.80,7.57
O,1.30,4.36
O,8.61,0.39
